contracts,payment_method,avg_area_act,avg_area_all,avg_area_cyc,avg_act_length,ratio_active,max_active,max_area,age,label
1,Type.DIRECT_DEBIT,0.95,0.013919413919413919,1.2666666666666666,1.3333333333333333,0.014652014652014652,0.95,1.9,65,Label.AVERAGE
1,Type.DIRECT_DEBIT,0.8657894736842107,0.059818181818181826,4.112500000000001,4.75,0.06909090909090909,0.95,7.2,65,Label.AVERAGE
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,39,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,39,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,39,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,40,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,40,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,40,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,40,Label.GOOD
1,Type.DIRECT_DEBIT,0.7582417582417582,0.2518248175182482,23.0,30.333333333333332,0.33211678832116787,1.5,29.0,32,Label.BAD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,32,Label.BAD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,32,Label.BAD
3,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,65,Label.AVERAGE
3,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,65,Label.AVERAGE
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,55,Label.GOOD
2,Type.DIRECT_DEBIT,0.8114754098360657,0.18065693430656937,6.187500000000001,7.625,0.22262773722627738,1.0,22.400000000000002,50,Label.BAD
2,Type.DIRECT_DEBIT,0.37073170731707317,0.05547445255474452,1.6888888888888889,4.555555555555555,0.14963503649635038,0.5,4.5,50,Label.BAD
2,Type.DIRECT_DEBIT,0.09999999999999971,0.00769230769230767,0.349999999999999,3.5,0.07692307692307693,0.14999999999999972,0.8999999999999984,50,Label.BAD
1,Type.BANK_TRANSFER,0.9958333333333332,0.043613138686131384,1.9916666666666665,2.0,0.043795620437956206,1.0,4.0,64,Label.BAD
1,Type.BANK_TRANSFER,0.9500000000000001,0.04854014598540146,1.9000000000000001,2.0,0.051094890510948905,0.95,3.8,64,Label.BAD
1,Type.BANK_TRANSFER,0.8541666666666669,0.03754578754578755,1.7083333333333337,2.0,0.04395604395604396,0.9,3.6,64,Label.BAD
1,Type.BANK_TRANSFER,0.8,0.011636363636363637,1.0666666666666667,1.3333333333333333,0.014545454545454545,0.8,1.6,64,Label.BAD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,52,Label.AVERAGE
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,52,Label.AVERAGE
